Locator2,CollectDate,Month,Depth,ParmName,Units,Value,Mdl
807,21-03-83,3,A,Alkalinity,mg CaCO3/L,33,
807,08-06-83,6,A,Alkalinity,mg CaCO3/L,33,
807,28-09-83,9,A,Alkalinity,mg CaCO3/L,35,
807,07-12-83,12,A,Alkalinity,mg CaCO3/L,32,
807,22-03-84,3,A,Alkalinity,mg CaCO3/L,33,
807,24-05-84,5,A,Alkalinity,mg CaCO3/L,34,
807,25-09-84,9,A,Alkalinity,mg CaCO3/L,34,
807,04-12-84,12,A,Alkalinity,mg CaCO3/L,34,
807,19-02-85,2,A,Alkalinity,mg CaCO3/L,29,
807,21-05-85,5,A,Alkalinity,mg CaCO3/L,34,
807,20-08-85,8,A,Alkalinity,mg CaCO3/L,34,
807,13-11-85,11,A,Alkalinity,mg CaCO3/L,34,
807,24-02-86,2,A,Alkalinity,mg CaCO3/L,31,
807,20-05-86,5,A,Alkalinity,mg CaCO3/L,33,
807,05-08-86,8,A,Alkalinity,mg CaCO3/L,34,
807,03-11-86,11,A,Alkalinity,mg CaCO3/L,36,
807,03-02-87,2,A,Alkalinity,mg CaCO3/L,34,
807,05-05-87,5,A,Alkalinity,mg CaCO3/L,33,
807,04-08-87,8,A,Alkalinity,mg CaCO3/L,35,
807,03-11-87,11,A,Alkalinity,mg CaCO3/L,38,
807,02-02-88,2,A,Alkalinity,mg CaCO3/L,35,
807,17-05-88,5,A,Alkalinity,mg CaCO3/L,36,
807,02-08-88,8,A,Alkalinity,mg CaCO3/L,36,
807,29-11-88,11,A,Alkalinity,mg CaCO3/L,37,
807,09-05-89,5,A,Alkalinity,mg CaCO3/L,37,
807,10-10-89,10,A,Alkalinity,mg CaCO3/L,49,
807,02-01-90,1,A,Alkalinity,mg CaCO3/L,38,
807,05-03-90,3,A,Alkalinity,mg CaCO3/L,38,
807,10-07-90,7,A,Alkalinity,mg CaCO3/L,34,
807,09-10-90,10,A,Alkalinity,mg CaCO3/L,37,
807,08-01-91,1,A,Alkalinity,mg CaCO3/L,34,
807,01-04-91,4,A,Alkalinity,mg CaCO3/L,36,
807,01-07-91,7,A,Alkalinity,mg CaCO3/L,36,
807,07-10-91,10,A,Alkalinity,mg CaCO3/L,39,
807,07-01-92,1,A,Alkalinity,mg CaCO3/L,36,
807,06-04-92,4,A,Alkalinity,mg CaCO3/L,37,
807,05-10-92,10,A,Alkalinity,mg CaCO3/L,39,
807,04-01-93,1,A,Alkalinity,mg CaCO3/L,36,0.2
807,05-04-93,4,A,Alkalinity,mg CaCO3/L,38,0.2
807,06-07-93,7,A,Alkalinity,mg CaCO3/L,38,0.2
807,04-10-93,10,A,Alkalinity,mg CaCO3/L,41,0.2
807,05-01-94,1,A,Alkalinity,mg CaCO3/L,38,0.2
807,02-05-94,5,A,Alkalinity,mg CaCO3/L,40,0.2
807,05-07-94,7,A,Alkalinity,mg CaCO3/L,40,0.2
807,03-10-94,10,A,Alkalinity,mg CaCO3/L,42,0.2
807,19-01-95,1,A,Alkalinity,mg CaCO3/L,40,0.2
807,03-04-95,4,A,Alkalinity,mg CaCO3/L,39,0.2
807,11-07-95,7,A,Alkalinity,mg CaCO3/L,39,0.2
807,04-10-95,10,A,Alkalinity,mg CaCO3/L,39.5,0.2
807,02-01-96,1,A,Alkalinity,mg CaCO3/L,37.7,0.2
807,08-04-96,4,A,Alkalinity,mg CaCO3/L,36.9,0.2
807,01-07-96,7,A,Alkalinity,mg CaCO3/L,36.7,0.2
807,03-10-96,10,A,Alkalinity,mg CaCO3/L,38.8,0.2
807,23-01-97,1,A,Alkalinity,mg CaCO3/L,35.3,0.2
807,01-04-97,4,A,Alkalinity,mg CaCO3/L,34.9,0.2
807,01-07-97,7,A,Alkalinity,mg CaCO3/L,36.9,0.2
807,07-10-97,10,A,Alkalinity,mg CaCO3/L,37,0.2
807,06-01-98,1,A,Alkalinity,mg CaCO3/L,35.4,0.2
807,07-04-98,4,A,Alkalinity,mg CaCO3/L,36.8,0.2
807,07-07-98,7,A,Alkalinity,mg CaCO3/L,37.4,0.2
807,06-10-98,10,A,Alkalinity,mg CaCO3/L,39.1,0.2
807,04-01-99,1,A,Alkalinity,mg CaCO3/L,35.6,0.2
807,05-04-99,4,A,Alkalinity,mg CaCO3/L,33.8,0.2
807,06-07-99,7,A,Alkalinity,mg CaCO3/L,37.1,0.2
807,04-10-99,10,A,Alkalinity,mg CaCO3/L,37.4,0.2
807,03-01-00,1,A,Alkalinity,mg CaCO3/L,35.2,0.2
807,03-04-00,4,A,Alkalinity,mg CaCO3/L,35.5,0.2
807,03-07-00,7,A,Alkalinity,mg CaCO3/L,36.5,0.2
807,02-10-00,10,A,Alkalinity,mg CaCO3/L,38,0.2
807,02-04-01,4,A,Alkalinity,mg CaCO3/L,38.9,0.2
807,03-07-01,7,A,Alkalinity,mg CaCO3/L,39.4,0.2
807,01-10-01,10,A,Alkalinity,mg CaCO3/L,39.9,0.2
807,07-01-02,1,A,Alkalinity,mg CaCO3/L,38,0.2
807,01-04-02,4,A,Alkalinity,mg CaCO3/L,38.8,0.2
807,08-10-02,10,A,Alkalinity,mg CaCO3/L,39,0.2
807,06-01-03,1,A,Alkalinity,mg CaCO3/L,36.8,0.2
807,09-04-03,4,A,Alkalinity,mg CaCO3/L,38.3,0.2
807,07-07-03,7,A,Alkalinity,mg CaCO3/L,40,1
807,07-10-03,10,A,Alkalinity,mg CaCO3/L,40.3,1
814,29-04-82,4,A,Alkalinity,mg CaCO3/L,32,
814,11-05-82,5,A,Alkalinity,mg CaCO3/L,34,
814,24-05-82,5,A,Alkalinity,mg CaCO3/L,33,
814,07-06-82,6,A,Alkalinity,mg CaCO3/L,36,
814,28-06-82,6,A,Alkalinity,mg CaCO3/L,36,
814,13-07-82,7,A,Alkalinity,mg CaCO3/L,40,
814,26-07-82,7,A,Alkalinity,mg CaCO3/L,38,
814,09-08-82,8,A,Alkalinity,mg CaCO3/L,37,
814,23-08-82,8,A,Alkalinity,mg CaCO3/L,42,
814,07-09-82,9,A,Alkalinity,mg CaCO3/L,39,
814,27-09-82,9,A,Alkalinity,mg CaCO3/L,38,
814,11-10-82,10,A,Alkalinity,mg CaCO3/L,38,
814,27-10-82,10,A,Alkalinity,mg CaCO3/L,50,
814,09-11-82,11,A,Alkalinity,mg CaCO3/L,38,
